COICOP, 1998 - Niveau 2 - Liste des groupes;
Code;Libellé
01.1;Produits alimentaires
01.2;Boissons non alcoolisées
02.1;Boissons alcoolisées
02.2;Tabac
03.1;Habillement
03.2;Chaussures y.c. réparation
04.1;Loyers d'habitation effectifs
04.3;Entretien et réparation courante du logement
04.4;Fourniture d'eau et autres services lies au logement
04.5;Électricité, gaz et autres combustibles
05.1;Meubles, articles d'ameublement, tapis et autres revêt. de sol y.c.réparation
05.2;Articles de ménage en textile
05.3;Appareils ménagers
05.4;Verrerie, vaisselle et ustensiles de ménage
05.5;Outillage et autres matériels pour la maison et le jardin
05.6;Biens et services pour l'entretien courant de l'habitation
06.1;Médicaments et autres prod. pharmaceutiques, appareils et mat. thérapeutiques
06.2;Médecine non hospitalière et services paramédicaux (services ambulatoires)
07.1;Achats de véhicules
07.2;Utilisation de véhicules personnels
07.3;Services de transport
08.1;Communications
09.1;Équipements   audio-visuels, photographiques  et informatiques
09.2;Autres biens durables importants pour les loisirs et la culture y.c. réparation
09.3;Autres articles et équipements de loisirs, fleurs et animaux d'agrément
09.4;Services récréatifs et culturels
09.5;Presse, livres et papeterie
09.6;Voyages touristiques tout compris
10.1;Services d'éducation
11.1;Restauration et cafés
11.2;Services d'hébergement
12.1;Soins personnels
12.3;Effets personnels n.d.a.
12.4;Protection sociale
12.5;Assurances
12.6;Services financiers
12.7;Autres services
